,session_id,trial_num,category,submit_time,submit_date,num_strokes,draw_duration,trial_duration,mean_intensity,bounding_box,filename,condition,CB,subID,image_name
0,Praisedraw_pilot_4_1563221476544,0,none,1563222723165.0,2019-07-15T20:32:03.165Z,1,1.602,64.287,0.010522959183673469,"(191, 210, 7, 217)",/Users/masaba/Documents/GitHub/praise-draw/analysis/Praisedraw_pilot_4_sketches_7_17_2019/tryit/tryit_none_sketch_Praisedraw_pilot_4_1563221476544_PD2_190715_01.png,tryit,1,PD2_190715_01,
1,Praisedraw_pilot_4_1563221476544,1,this square,1563222742070.0,2019-07-15T20:32:22.070Z,1,9.315,18.903,0.01905293367346939,"(58, 157, 64, 163)",/Users/masaba/Documents/GitHub/praise-draw/analysis/Praisedraw_pilot_4_sketches_7_17_2019/tracing/tracing_this square_sketch_Praisedraw_pilot_4_1563221476544_PD2_190715_01.png,tracing,1,PD2_190715_01,
2,Praisedraw_pilot_4_1563221476544,2,this shape,1563222765275.0,2019-07-15T20:32:45.275Z,1,18.031,23.202,0.032545440051020405,"(18, 202, 37, 150)",/Users/masaba/Documents/GitHub/praise-draw/analysis/Praisedraw_pilot_4_sketches_7_17_2019/tracing/tracing_this shape_sketch_Praisedraw_pilot_4_1563221476544_PD2_190715_01.png,tracing,1,PD2_190715_01,
3,Praisedraw_pilot_4_1563221476544,3,none,1563222808702.0,2019-07-15T20:33:28.702Z,53,44.829,43.424,0.07481664540816327,"(49, 223, 18, 223)",/Users/masaba/Documents/GitHub/praise-draw/analysis/Praisedraw_pilot_4_sketches_7_17_2019/tryit/tryit_none_sketch_Praisedraw_pilot_4_1563221476544_PD2_190715_01.png,tryit,1,PD2_190715_01,
4,Praisedraw_pilot_4_1563221476544,3,none,1563222829627.0,2019-07-15T20:33:49.627Z,53,44.829,64.349,0.06971460459183673,"(51, 223, 4, 208)",/Users/masaba/Documents/GitHub/praise-draw/analysis/Praisedraw_pilot_4_sketches_7_17_2019/tryit/tryit_none_sketch_Praisedraw_pilot_4_1563221476544_PD2_190715_01.png,tryit,1,PD2_190715_01,
5,Praisedraw_pilot_4_1563221476544,12,none,1563223109071.0,2019-07-15T20:38:29.071Z,14,20.265,53.393,0.03400031887755102,"(21, 223, 88, 187)",/Users/masaba/Documents/GitHub/praise-draw/analysis/Praisedraw_pilot_4_sketches_7_17_2019/selective/selective_none_sketch_Praisedraw_pilot_4_1563221476544_PD2_190715_01.png,selective,1,PD2_190715_01,
6,Praisedraw_pilot_4_1563221476544,16,none,1563223179109.0,2019-07-15T20:39:39.109Z,43,42.426,40.658,0.04641661352040816,"(39, 220, 64, 214)",/Users/masaba/Documents/GitHub/praise-draw/analysis/Praisedraw_pilot_4_sketches_7_17_2019/overpraise/overpraise_none_sketch_Praisedraw_pilot_4_1563221476544_PD2_190715_01.png,overpraise,1,PD2_190715_01,
7,Praisedraw_pilot_4_1563221476544,16,none,1563223195711.0,2019-07-15T20:39:55.711Z,43,42.426,57.26,0.05978954081632653,"(4, 211, 24, 211)",/Users/masaba/Documents/GitHub/praise-draw/analysis/Praisedraw_pilot_4_sketches_7_17_2019/overpraise/overpraise_none_sketch_Praisedraw_pilot_4_1563221476544_PD2_190715_01.png,overpraise,1,PD2_190715_01,
8,Praisedraw_pilot_4_1563221476544,16,none,1563223213550.0,2019-07-15T20:40:13.550Z,43,42.426,75.099,0.04946588010204082,"(0, 216, 57, 223)",/Users/masaba/Documents/GitHub/praise-draw/analysis/Praisedraw_pilot_4_sketches_7_17_2019/overpraise/overpraise_none_sketch_Praisedraw_pilot_4_1563221476544_PD2_190715_01.png,overpraise,1,PD2_190715_01,
9,Praisedraw_pilot_4_1563223290448,0,none,1563224590888.0,2019-07-15T21:03:10.888Z,1,3.237,53.721,0.010403380102040817,"(16, 204, 103, 121)",/Users/masaba/Documents/GitHub/praise-draw/analysis/Praisedraw_pilot_4_sketches_7_17_2019/tryit/tryit_none_sketch_Praisedraw_pilot_4_1563223290448_PD2_190715_02.png,tryit,2,PD2_190715_02,
